# File name: C_glabrata_CBS138_S_cerevisiae_orthologs.txt
# Organism: Candida glabrata CBS138
# Genome version: s02-m07-r41
# Date created: Wed Aug 21 10:26:53 2019
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
CAGL0J11286g		CAL0133448	YNL182C	IPI3	S000005126
CAGL0J09086g		CAL0133220	YDL136W	RPL35B	S000002295
CAGL0M08734g		CAL0136413	YDR262W	YDR262W	S000002670
CAGL0J06930g		CAL0132786	YPL118W	MRP51	S000006039
CAGL0I03102g		CAL0132708	YEL022W	GEA2	S000000748
CAGL0M06479g		CAL0136797	YBR188C	NTC20	S000000392
CAGL0J07854g		CAL0132934	YNL253W	TEX1	S000005197
CAGL0K01463g	SIR2	CAL0134663	YDL042C	SIR2	S000002200
CAGL0K10296g		CAL0134649	YOR126C	IAH1	S000005652
CAGL0J04202g	HSP12	CAL0133092	YFL014W	HSP12	S000001880
CAGL0J11242g		CAL0133070	YNL180C	RHO5	S000005124
CAGL0E02651g		CAL0129096	YOR003W	YSP3	S000005529
CAGL0G09152g		CAL0130540	YPL196W	OXR1	S000006117
CAGL0G02211g		CAL0137565	YKR082W	NUP133	S000001790
CAGL0F04851g		CAL0129939	YPR155C	NCA2	S000006359
CAGL0K05445g		CAL0134399	YOR073W	SGO1	S000005599
CAGL0F08745g		CAL0131378	YGR008C	STF2	S000003240
CAGL0M01320g		CAL0137257	YDR330W	UBX5	S000002738
CAGL0L02915g		CAL0135394	YOR204W	DED1	S000005730
CAGL0L10494g		CAL0135592	YOR070C	GYP1	S000005596
CAGL0J06380g		CAL0133570	YDL181W	INH1	S000002340
CAGL0G07887g		CAL0137691	YGR106C	VOA1	S000003338
CAGL0G01474g		CAL0129356	YNL042W	BOP3	S000004987
CAGL0M07876g	MDE1	CAL0136527	YJR024C	MDE1	S000003785
CAGL0E06314g		CAL0128840	YKL155C	RSM22	S000001638
CAGL0K02101g		CAL0134623	YER132C	PMD1	S000000934
CAGL0K01375g	MRP10	CAL0134147	YDL045W-A	MRP10	S000006430
CAGL0A04323g		CAL0126845	YBL057C	PTH2	S000000153
CAGL0I09548g		CAL0132296	YGL129C	RSM23	S000003097
CAGL0F03223g		CAL0129711	YDR436W	PPZ2	S000002844
CAGL0I03696g	LDB17	CAL0130310	YDL146W	LDB17	S000002305
CAGL0I06688g		CAL0130334	YER148W	SPT15	S000000950
CAGL0F08943g		CAL0131348	YHR038W	RRF1	S000001080
CAGL0D05280g		CAL0128277	YFR030W	MET10	S000001926
CAGL0I08877g		CAL0132634	YGR165W	MRPS35	S000003397
CAGL0J06842g		CAL0133724	YPL122C	TFB2	S000006043
CAGL0F04895g		CAL0131214	YPR160W	GPH1	S000006364
CAGL0M00528g		CAL0137443	YJR131W	MNS1	S000003892
CAGL0M06017g		CAL0136567	YBR166C	TYR1	S000000370
CAGL0M02123g		CAL0136827	YPL158C	AIM44	S000006079
CAGL0J00649g		CAL0132936	YHR025W	THR1	S000001067
CAGL0J11462g		CAL0133146	YNL190W	YNL190W	S000005134
CAGL0A03168g		CAL0126943	YDR382W	RPP2B	S000002790
CAGL0G05896g		CAL0130797	YHR143W	DSE2	S000001186
CAGL0G05181g		CAL0137663	YDR066C	RTR2	S000002473
CAGL0K08800g	ADI1	CAL0134151	YMR009W	ADI1	S000004611
CAGL0F08283g	GCN5	CAL0131206	YGR252W	GCN5	S000003484
CAGL0J06776g		CAL0129863	YPL125W	KAP120	S000006046
CAGL0F01595g		CAL0131184	YLR066W	SPC3	S000004056
CAGL0A03146g		CAL0126581	YDR381C-A	YDR381C-A	S000007650
CAGL0E03872g		CAL0128766	YHL031C	GOS1	S000001023
CAGL0G02805g		CAL0130556	YIL106W	MOB1	S000001368
CAGL0I00660g		CAL0132114	YLR289W	GUF1	S000004280
CAGL0C04719g		CAL0127388	YJR102C	VPS25	S000003863
CAGL0K01793g		CAL0134737	YDL018C	ERP3	S000002176
CAGL0F05027g		CAL0131042	YLR281C	YLR281C	S000004271
CAGL0B00528g		CAL0127086	YCL051W	LRE1	S000000556
CAGL0D03586g	ACP1	CAL0128107	YKL192C	ACP1	S000001675
CAGL0K03289g		CAL0133831	YMR099C	YMR099C	S000004705
CAGL0H06325g		CAL0131810	YAL014C	SYN8	S000000012
CAGL0L10758g	PFK2	CAL0135674	YMR205C	PFK2	S000004818
CAGL0L05390g		CAL0135896	YKL013C	ARC19	S000001496
CAGL0H07513g	IFA38	CAL0131832	YBR159W	IFA38	S000000363
CAGL0I09240g		CAL0132430	YBR261C	TAE1	S000000465
CAGL0G08107g		CAL0130390	YDR096W	GIS1	S000002503
CAGL0G02365g		CAL0130763	YKR089C	TGL4	S000001797
CAGL0J11858g	RML2	CAL0133430	YEL050C	RML2	S000000776
CAGL0I00462g		CAL0129598	YLR301W	HRI1	S000004292
CAGL0D04708g		CAL0128011	YPR124W	CTR1	S000006328
CAGL0I04070g		CAL0132336	YDL052C	SLC1	S000002210
CAGL0B01771g		CAL0127066	YDR110W	FOB1	S000002517
CAGL0L01221g		CAL0135722	YEL043W	YEL043W	S000000769
CAGL0L08866g		CAL0136054	YPL007C	TFC8	S000005928
CAGL0H04191g		CAL0129688	YML081C-A	ATP18	S000007247
CAGL0H04103g		CAL0131560	YML088W	UFO1	S000004553
CAGL0K05291g	SRO7	CAL0133805	YPR032W	SRO7	S000006236
CAGL0M00484g		CAL0136563	YJR133W	XPT1	S000003894
CAGL0F05819g		CAL0130994	YDR179W-A	YDR179W-A	S000002587
CAGL0M13563g		CAL0137453	YMR292W	GOT1	S000004906
CAGL0G06006g		CAL0130817	YHR138C	YHR138C	S000001180
CAGL0L08492g		CAL0135954	YPR148C	YPR148C	S000006352
CAGL0K07139g		CAL0134731	YBR231C	SWC5	S000000435
CAGL0A01826g	HXT5	CAL0126791	YDR345C	HXT3	S000002753
CAGL0A03014g		CAL0126783	YDR376W	ARH1	S000002784
CAGL0L07788g		CAL0135110	YCR009C	RVS161	S000000602
CAGL0K03091g		CAL0133781	YMR074C	YMR074C	S000004678
CAGL0H01397g		CAL0131794	YDR298C	ATP5	S000002706
CAGL0E02827g		CAL0128680	YBL010C	YBL010C	S000000106
CAGL0J10846g		CAL0133572	YHR071W	PCL5	S000001113
CAGL0L11066g		CAL0135224	YOR281C	PLP2	S000005807
CAGL0G06666g		CAL0129530	YNL102W	POL1	S000005046
CAGL0C04873g		CAL0127258	YJR111C	YJR111C	S000003872
CAGL0F05159g		CAL0130898	YDR485C	VPS72	S000002893
CAGL0I05896g	YAK1	CAL0132074	YJL141C	YAK1	S000003677
CAGL0F08129g	SDA1	CAL0129292	YGR245C	SDA1	S000003477
CAGL0K04015g		CAL0134363	YGR031W	IMO32	S000003263
CAGL0G03025g		CAL0130612	YGR091W	PRP31	S000003323
CAGL0H04543g		CAL0130326	YBL091C-A	SCS22	S000007228
CAGL0H07535g		CAL0131580	YBR160W	CDC28	S000000364
CAGL0C02739g		CAL0127302	YAL008W	FUN14	S000000006
CAGL0K11363g		CAL0134175	YDR229W	IVY1	S000002637
CAGL0G02475g		CAL0130452	YKR094C	RPL40B	S000001802
CAGL0C04169g		CAL0127470	YBR007C	DSF2	S000000211
CAGL0G08866g		CAL0130019	YIL131C	FKH1	S000001393
CAGL0M00330g	HOM6	CAL0136593	YJR139C	HOM6	S000003900
CAGL0L01837g	VPS24	CAL0135696	YKL041W	VPS24	S000001524
CAGL0M13431g		CAL0137011	YHR187W	IKI1	S000001230
CAGL0L07744g		CAL0135056	YCR011C	ADP1	S000000604
CAGL0L08448g		CAL0136104	YPR149W	NCE102	S000006353
CAGL0D03960g		CAL0128453	YHR036W	BRL1	S000001078
CAGL0F07601g	CWP1.1	CAL0131282	YKL096W-A	CWP2	S000001956
CAGL0J05896g		CAL0133250	YNL158W	PGA1	S000005102
CAGL0L08162g		CAL0135486	YCR033W	SNT1	S000000629
CAGL0F01243g		CAL0131118	YOL027C	MDM38	S000005387
CAGL0I02772g		CAL0132512	YOR115C	TRS33	S000005641
CAGL0K06149g		CAL0134879	YDR447C	RPS17B	S000002855
CAGL0F03179g		CAL0129899	YDR434W	GPI17	S000002842
CAGL0G09317g		CAL0129997	YGR195W	SKI6	S000003427
CAGL0L12760g		CAL0135876	YPL048W	CAM1	S000005969
CAGL0L03003g	GCN3	CAL0136048	YKR026C	GCN3	S000001734
CAGL0L11440g		CAL0135122	YML072C	TCB3	S000004537
CAGL0M13937g		CAL0136695	YMR311C	GLC8	S000004928
CAGL0A02970g		CAL0126965	YDR374C	PHO92	S000002782
CAGL0I03564g		CAL0132554	YDL155W	CLB3	S000002314
CAGL0E04136g		CAL0128970	YEL053C	MAK10	S000000779
CAGL0G09581g		CAL0129815	YOR187W	TUF1	S000005713
CAGL0M00440g		CAL0137207	YJR135C	MCM22	S000003896
CAGL0A02926g		CAL0126677	YDR372C	VPS74	S000002780
CAGL0I09504g		CAL0130298	YBR274W	CHK1	S000000478
CAGL0K06061g		CAL0133871	YLR264W	RPS28B	S000004254
CAGL0K00803g	TRX2	CAL0134177	YLR043C	TRX1	S000004033
CAGL0A04015g		CAL0126595	YLR197W	NOP56	S000004187
CAGL0G01188g		CAL0130771	YLR350W	ORM2	S000004342
CAGL0G09229g		CAL0130414	YPL192C	PRM3	S000006113
CAGL0J04400g		CAL0133544	YBL021C	HAP3	S000000117
CAGL0G04015g		CAL0130402	YLL031C	GPI13	S000003954
CAGL0F02893g		CAL0131302	YDR415C	YDR415C	S000002823
CAGL0A04191g		CAL0126923	YER019C-A	SBH2	S000002127
CAGL0M13167g		CAL0137303	YKL048C	ELM1	S000001531
CAGL0I05934g		CAL0132458	YJL144W	YJL144W	S000003680
CAGL0K06039g		CAL0134117	YLR263W	RED1	S000004253
CAGL0I03938g	PPH21	CAL0132122	YDL134C	PPH21	S000002292
CAGL0L02739g		CAL0135610	YOR213C	SAS5	S000005739
CAGL0J08349g		CAL0133204	YNL278W	CAF120	S000005222
CAGL0I09328g		CAL0129687	YBR265W	TSC10	S000000469
CAGL0L07326g	DUN1	CAL0135172	YDL101C	DUN1	S000002259
CAGL0L11132g		CAL0136094	YML058W	SML1	S000004523
CAGL0K06413g		CAL0133783	YDR463W	STP1	S000002871
CAGL0F02343g		CAL0131310	YFR007W	YFH7	S000001903
CAGL0G09537g		CAL0130472	YOR189W	IES4	S000005715
CAGL0L11616g		CAL0135142	YOR118W	RTC5	S000005644
CAGL0G03223g		CAL0130201	YGR098C	ESP1	S000003330
CAGL0K06743g	YBP1	CAL0134527	YBR216C	YBP1	S000000420
CAGL0D01232g		CAL0128495	YPR079W	MRL1	S000006283
CAGL0B02563g	GIN3	CAL0127776	YML128C	MSC1	S000004597
CAGL0J00209g		CAL0133224	YGR024C	THG1	S000003256
CAGL0I10923g		CAL0132486	YOR196C	LIP5	S000005722
CAGL0J08800g		CAL0133266	YLR209C	PNP1	S000004199
CAGL0K03773g		CAL0134575	YMR127C	SAS2	S000004734
CAGL0K05269g		CAL0134699	YPR031W	NTO1	S000006235
CAGL0H01045g		CAL0129707	YDR282C	YDR282C	S000002690
CAGL0A04653g		CAL0126535	YBL080C	PET112	S000000176
CAGL0I02728g		CAL0132672	YHR116W	COX23	S000001158
CAGL0L03718g		CAL0135248	YOR093C	YOR093C	S000005619
CAGL0G02761g		CAL0130727	YIL103W	DPH1	S000001365
CAGL0I06534g		CAL0132484	YER154W	OXA1	S000000956
CAGL0F07095g		CAL0130888	YGL122C	NAB2	S000003090
CAGL0L01683g		CAL0135632	YKL061W	BLI1	S000001544
CAGL0F06435g		CAL0130990	YMR059W	SEN15	S000004663
CAGL0K04829g		CAL0133849	YNL213C	RRG9	S000005157
CAGL0J07018g		CAL0132992	YPL109C	YPL109C	S000006030
CAGL0L12386g	SUV3	CAL0135476	YPL029W	SUV3	S000005950
CAGL0C02101g		CAL0127440	YFR042W	KEG1	S000001938
CAGL0D04642g		CAL0127957	YPR120C	CLB5	S000006324
CAGL0H03201g		CAL0131678	YGL085W	LCL3	S000003053
CAGL0E03740g		CAL0128554	YHL026C	YHL026C	S000001018
CAGL0L03410g		CAL0135468	YJL090C	DPB11	S000003626
CAGL0L04400g		CAL0135568	YOR162C	YRR1	S000005688
CAGL0I02904g		CAL0132256	YNL108C	YNL108C	S000005052
CAGL0J02794g		CAL0132840	YER048W-A	ISD11	S000007237
CAGL0F03861g		CAL0131086	YMR208W	ERG12	S000004821
CAGL0G09933g		CAL0130753	YPR182W	SMX3	S000006386
CAGL0I09878g		CAL0132268	YOR317W	FAA1	S000005844
CAGL0G01716g		CAL0129387	YPR106W	ISR1	S000006310
CAGL0F08701g		CAL0130974	YGR006W	PRP18	S000003238
CAGL0J09966g	YDJ1	CAL0133394	YNL064C	YDJ1	S000005008
CAGL0D02706g		CAL0128053	YHR197W	RIX1	S000001240
CAGL0B02755g		CAL0127150	YLR361C-A	YLR361C-A	S000028845
CAGL0G05423g	HO	CAL0137675	YDL227C	HO	S000002386
CAGL0L08514g		CAL0135598	YPR147C	YPR147C	S000006351
CAGL0K07051g		CAL0134459	YBR236C	ABD1	S000000440
CAGL0G03773g		CAL0130729	YLL023C	POM33	S000003946
CAGL0B00880g		CAL0127870	YCL031C	RRP7	S000000536
CAGL0K11792g		CAL0134345	YDR027C	VPS54	S000002434
CAGL0L09735g		CAL0135262	YKL017C	HCS1	S000001500
CAGL0I03190g	RIP1	CAL0132258	YEL024W	RIP1	S000000750
CAGL0J06666g		CAL0132826	YML108W	YML108W	S000004576
CAGL0L05104g		CAL0135120	YKL079W	SMY1	S000001562
CAGL0J10560g		CAL0132858	YDR439W	LRS4	S000002847
CAGL0J03872g		CAL0133368	YOR233W	KIN4	S000005759
CAGL0G07975g		CAL0130153	YNR038W	DBP6	S000005321
CAGL0M11726g		CAL0136375	YLR110C	CCW12	S000004100
CAGL0B03839g	MET3	CAL0127678	YJR010W	MET3	S000003771
CAGL0K08096g		CAL0134115	YPR095C	SYT1	S000006299
CAGL0K10274g		CAL0134325	YOR125C	CAT5	S000005651
CAGL0J03388g		CAL0132908	YDL175C	AIR2	S000002334
CAGL0H03399g		CAL0131654	YGL077C	HNM1	S000003045
CAGL0M05753g		CAL0136825	YGL064C	MRH4	S000003032
CAGL0J11352g		CAL0133702	YNL186W	UBP10	S000005130
CAGL0M00242g		CAL0136703	YJR142W	YJR142W	S000003903
CAGL0I09350g		CAL0132376	YBR267W	REI1	S000000471
CAGL0D04510g		CAL0128261	YPR117W	YPR117W	S000006321
CAGL0M02915g		CAL0136331	YJL185C	ATG36	S000003721
CAGL0J00605g		CAL0133686	YHR027C	RPN1	S000001069
CAGL0A03344g		CAL0126827	YNL008C	ASI3	S000004953
CAGL0M08360g		CAL0136865	YKL168C	KKQ8	S000001651
CAGL0E02315g		CAL0129048	YOL012C	HTZ1	S000005372
CAGL0H02431g		CAL0132018	YMR259C	TRM732	S000004872
CAGL0J01848g		CAL0132808	YPR010C	RPA135	S000006214
CAGL0K09416g		CAL0134641	YGL211W	NCS6	S000003179
CAGL0K05313g		CAL0134455	YPR033C	HTS1	S000006237
CAGL0E01617g		CAL0128642	YOL130W	ALR1	S000005490
CAGL0E04598g	CDC34	CAL0129092	YDR054C	CDC34	S000002461
CAGL0H05269g		CAL0131670	YPL069C	BTS1	S000005990
CAGL0D04048g		CAL0128243	YGR020C	VMA7	S000003252
CAGL0K12870g		CAL0133961	YFL046W	FMP32	S000001848
CAGL0J03674g		CAL0133018	YOR245C	DGA1	S000005771
CAGL0G08448g	THI7	CAL0130269	YLR237W	THI7	S000004227
CAGL0D00462g		CAL0127951	YKL185W	ASH1	S000001668
CAGL0H10538g		CAL0131438	YDL119C	YDL119C	S000002277
CAGL0G03531g		CAL0129938	YER115C	SPR6	S000000917
CAGL0L09493g		CAL0135406	YIR007W	YIR007W	S000001446
CAGL0F04411g		CAL0129316	YBL038W	MRPL16	S000000134
CAGL0J07656g	SLA2	CAL0133332	YNL243W	SLA2	S000005187
CAGL0G04213g		CAL0130498	YJL026W	RNR2	S000003563
CAGL0F05489g		CAL0131228	YDR200C	VPS64	S000002608
CAGL0H05159g		CAL0130595	YPL063W	TIM50	S000005984
CAGL0K01089g		CAL0134683	YGR081C	SLX9	S000003313
CAGL0M12276g		CAL0136929	YAL048C	GEM1	S000000046
CAGL0B01859g		CAL0127782	YDR118W	APC4	S000002525
CAGL0I10835g		CAL0130095	YBR164C	ARL1	S000000368
CAGL0K09020g		CAL0134617	YOR253W	NAT5	S000005779
CAGL0I10472g		CAL0130292	YGR132C	PHB1	S000003364
CAGL0F02651g		CAL0129741	YDR403W	DIT1	S000002811
CAGL0L12958g		CAL0135280	YHR118C	ORC6	S000001160
CAGL0J11330g		CAL0133246	YNL185C	MRPL19	S000005129
CAGL0H05907g		CAL0130350	YPL104W	MSD1	S000006025
CAGL0J04158g	RCN2	CAL0133192	YOR220W	RCN2	S000005746
CAGL0D03322g		CAL0128417	YLR023C	IZH3	S000004013
CAGL0I10582g		CAL0132396	YGR127W	YGR127W	S000003359
CAGL0H07909g		CAL0131490	YGL233W	SEC15	S000003202
CAGL0D03278g		CAL0128443	YLR021W	IRC25	S000004011
CAGL0A03051g		CAL0126747	YDR378C	LSM6	S000002786
CAGL0I10406g		CAL0130249	YGR135W	PRE9	S000003367
CAGL0J05940g		CAL0133502	YNL154C	YCK2	S000005098
CAGL0M04763g		CAL0136345	YOR289W	YOR289W	S000005815
CAGL0H05291g	MUK1	CAL0130188	YPL070W	MUK1	S000005991
CAGL0I00924g		CAL0132302	YOR040W	GLO4	S000005566
CAGL0L09020g		CAL0136178	YPL002C	SNF8	S000005923
CAGL0K07073g		CAL0134669	YBR235W	VHC1	S000000439
CAGL0I07969g		CAL0132466	YOL077W-A	ATP19	S000007339
CAGL0C03630g		CAL0127174	YNR043W	MVD1	S000005326
CAGL0I04620g		CAL0130151	YBR042C	CST26	S000000246
CAGL0L07040g		CAL0136196	YDL087C	LUC7	S000002245
CAGL0B04455g		CAL0127148	YNL101W	AVT4	S000005045
CAGL0H07023g		CAL0131770	YDR322C-A	TIM11	S000007255
CAGL0E05764g		CAL0128858	YPL212C	PUS1	S000006133
CAGL0K04741g	SSB2	CAL0133897	YNL209W	SSB2	S000005153
CAGL0I00704g		CAL0130424	YMR149W	SWP1	S000004757
CAGL0H03927g		CAL0131982	YCL008C	STP22	S000000514
CAGL0A04147g	PEX13	CAL0126755	YLR191W	PEX13	S000004181
CAGL0M07491g		CAL0136739	YMR025W	CSI1	S000004627
CAGL0H01144g		CAL0130434	YDR285W	ZIP1	S000002693
CAGL0F02255g		CAL0129177	YFR003C	YPI1	S000001899
CAGL0M04411g		CAL0137451	YLR137W	RKM5	S000004127
CAGL0F01749g		CAL0131260	YLR058C	SHM2	S000004048
CAGL0J05654g		CAL0133750	YNL139C	THO2	S000005083
CAGL0A00253g		CAL0126877	YGL020C	GET1	S000002988
CAGL0C05071g		CAL0127614	YOL055C	THI20	S000005416
CAGL0M11506g		CAL0136807	YLR100W	ERG27	S000004090
CAGL0K08536g	APE1	CAL0134599	YKL103C	APE1	S000001586
CAGL0L07502g		CAL0136056	YBR067C	TIP1	S000000271
CAGL0L10736g		CAL0135098	YMR204C	INP1	S000004817
CAGL0G05940g		CAL0129156	YHR141C	RPL42B	S000001183
CAGL0G07667g		CAL0129375	YJL079C	PRY1	S000003615
CAGL0L05126g		CAL0135816	YKL080W	VMA5	S000001563
CAGL0A00385g		CAL0126707	YGL016W	KAP122	S000002984
CAGL0J06248g		CAL0133512	YNL172W	APC1	S000005116
CAGL0F05599g		CAL0131012	YDR192C	NUP42	S000002600
CAGL0J03476g		CAL0133264	YCR072C	RSA4	S000000668
CAGL0L00715g		CAL0136128	YIL048W	NEO1	S000001310
CAGL0K03333g		CAL0134637	YMR100W	MUB1	S000004706
CAGL0G09691g		CAL0137713	YOR184W	SER1	S000005710
CAGL0J01155g		CAL0132890	YLR003C	CMS1	S000003993
CAGL0I07315g		CAL0132198	YOR131C	YOR131C	S000005657
CAGL0D02150g		CAL0128265	YFL017W-A	SMX2	S000002965
CAGL0H04873g		CAL0130518	YLR375W	STP3	S000004367
CAGL0G02607g		CAL0129898	YIL095W	PRK1	S000001357
