C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C37	C38
CAGL0A01826g	HXT5	Ortholog(s) have glucose transmembrane transporter activity, role in glucose transmembrane transport and plasma membrane localization	1.95e+00	1.69e-05	2.75e+00	9.80e-07	3.95e-01	7.10e-02	2.72e-01	2.01e-01	2.22e+00	3.54e+00	8.07e-01	3.66e-01	1	1	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A01826g	OFF	UP	UP	0	0	CAGL0A01826g	YDR345C	S000002753	YDR345C	HXT3	Low affinity glucose transporter of the major facilitator superfamily; expression is induced in low or high glucose conditions; HXT3 has a paralog, HXT5, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0A02002g		Ortholog of S. cerevisiae : YOL024W and Saccharomyces cerevisiae S288C : YOL024W	3.18e+00	1.13e-04	1.65e+00	1.28e-03	-3.54e-01	1.70e-01	-7.34e-01	5.94e-02	3.66e+00	2.10e+00	-1.04e+00	-1.39e+00	1	1	0	0	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	CAGL0A02002g	OFF	UP	UP	0	0	CAGL0A02002g	YOL024W	S000005384	YOL024W		Putative protein of unknown function; predicted to have thiol-disulfide oxidoreductase active site; YOL024W has a paralog, IGD1, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0A02112g		Ortholog(s) have asparagine-tRNA ligase activity and role in asparaginyl-tRNA aminoacylation	-1.67e+00	4.44e-05	-1.37e+00	2.28e-04	-3.08e-01	1.80e-02	-5.58e-01	2.69e-02	-2.01e+00	-1.87e+00	-9.29e-01	-1.09e+00	-1	0	0	0	METABOLISM	PROTEIN SYNTHESIS	F1	CAGL0A02112g	OFF	DOWN	DOWN	0	0	CAGL0A02112g	YHR019C	S000001061	YHR019C	DED81	Cytosolic asparaginyl-tRNA synthetase; required for protein synthesis, catalyzes the specific attachment of asparagine to its cognate tRNA	-6.09e-01	1.98e-01	-5.84e-01	5.15e-03
CAGL0A02145g		Ortholog(s) have actin filament binding activity, role in actin cortical patch localization, actin cytoskeleton organization, actin filament bundle assembly, actin filament organization, endocytosis and actin cortical patch localization	1.18e+00	4.82e-05	1.04e+00	1.46e-03	1.03e+00	9.58e-05	-3.75e-01	9.72e-02	1.32e+00	1.30e+00	2.37e+00	-7.65e-01	0	0	1	0	REGULATION	OTHERS	F2	CAGL0A02145g	OFF	0	0	UP	0	CAGL0A02145g	YHR016C	S000001058	YHR016C	YSC84	Actin-binding protein; involved in bundling of actin filaments and endocytosis of actin cortical patches; activity stimulated by Las17p; contains SH3 domain similar to Rvs167p; YSC84 has a paralog, LSB3, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0A02211g	HXT6/7	Ortholog(s) have glucose transmembrane transporter activity, pentose transmembrane transporter activity, role in glucose transmembrane transport and plasma membrane localization	2.03e+00	1.54e-03	1.41e+00	7.80e-04	-2.97e-02	8.72e-01	7.43e-01	3.06e-02	2.31e+00	1.77e+00	-2.41e-01	1.19e+00	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A02211g	OFF	UP	UP	0	0	CAGL0A02211g	YDR342C	S000002750	YDR342C	HXT7	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt6p, expressed at high basal levels relative to other HXTs, expression repressed by high glucose levels; HXT7 has a paralog, HXT4, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0A02233g	HXT4/6/7	Ortholog(s) have glucose transmembrane transporter activity and membrane, plasma membrane localization	2.28e+00	6.92e-04	1.51e+00	3.53e-04	3.00e-03	9.88e-01	7.40e-01	1.86e-02	2.60e+00	1.91e+00	-1.60e-01	1.19e+00	1	0	0	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0A02233g	OFF	UP	UP	0	0	CAGL0A02233g	YDR343C	S000002751	YDR343C	HXT6	High-affinity glucose transporter; member of the major facilitator superfamily, nearly identical to Hxt7p, expressed at high basal levels relative to other HXTs, repression of expression by high glucose requires SNF3; HXT6 has a paralog, HXT1, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0A02277g		Protein of unknown function	-2.00e-01	4.91e-01	3.61e+00	4.04e-07	2.05e+00	5.87e-06	-8.48e-01	8.06e-03	-2.91e-01	4.67e+00	4.90e+00	-1.59e+00	0	1	1	0	UNCLASSIFIED	_	Others	CAGL0A02277g	SWITCH	0	UP	UP	DOWN	CAGL0A02277g	YCL049C	S000000554	YCL049C		Protein of unknown function; localizes to membrane fraction; YCL049C is not an essential gene	 NA	 NA	 NA	 NA
CAGL0A02299g		Protein of unknown function	1.81e+00	6.85e-05	2.03e+00	1.29e-05	-2.55e-01	1.82e-01	1.09e+00	6.37e-04	2.05e+00	2.59e+00	-7.97e-01	1.80e+00	1	1	0	0	UNCLASSIFIED	_	Others	CAGL0A02299g	Type II	UP	UP	0	UP	CAGL0A02299g	NO_ORTHO	CAL0126895	CAGL0A02299g		Protein of unknown function	-3.61e-01	6.21e-01	1.09e+00	1.67e-02
CAGL0A02816g		Putative 2-methylbutyraldehyde reductase; gene is upregulated in azole-resistant strain	1.51e+00	3.53e-05	1.34e+00	2.58e-04	-5.70e-01	5.51e-03	-1.30e+00	3.85e-04	1.71e+00	1.68e+00	-1.58e+00	-2.39e+00	0	0	0	-1	REDOX SIGNALING	NAD(P)/NAD(P)H DEPENDANT ENZYME	F3	CAGL0A02816g	Type I	UP	UP	DOWN	DOWN	CAGL0A02816g	YDR368W	S000002776	YDR368W	YPR1	NADPH-dependent aldo-keto reductase; reduces multiple substrates including 2-methylbutyraldehyde and D,L-glyceraldehyde, expression is induced by osmotic and oxidative stress; functionally redundant with other aldo-keto reductases; protein abundance increases in response to DNA replication stress; YPR1 has a paralog, GCY1, that arose from the whole genome duplication; human homolog AKR1B1 can complement yeast null mutant	-5.76e-01	4.99e-01	5.54e-01	3.23e-03
CAGL0A03102g	ARO10	Ortholog(s) have carboxy-lyase activity, phenylpyruvate decarboxylase activity	2.13e+00	8.83e-06	3.91e-01	1.38e-01	3.15e-01	5.65e-02	-7.83e-01	8.07e-03	2.43e+00	4.40e-01	6.10e-01	-1.48e+00	1	0	0	0	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0A03102g	OFF	UP	0	0	0	CAGL0A03102g	YDR380W	S000002788	YDR380W	ARO10	Phenylpyruvate decarboxylase; catalyzes decarboxylation of phenylpyruvate to phenylacetaldehyde, which is the first specific step in the Ehrlich pathway; involved in protein N-terminal Met and Ala catabolism	2.89e-01	5.29e-01	-2.94e+00	2.19e-05
CAGL0A03366g		Ortholog(s) have IMP cyclohydrolase activity, phosphoribosylaminoimidazolecarboxamide formyltransferase activity and role in 'de novo' IMP biosynthetic process, IMP biosynthetic process, purine nucleotide biosynthetic process	1.07e-01	4.72e-01	-2.04e-01	3.64e-01	1.36e+00	3.47e-05	-3.00e-01	1.94e-01	6.86e-02	-3.41e-01	3.18e+00	-6.33e-01	0	0	1	0	REDOX SIGNALING	METABOLISM	F3	CAGL0A03366g	OFF	0	0	UP	0	CAGL0A03366g	YLR028C	S000004018	YLR028C	ADE16	Enzyme of 'de novo' purine biosynthesis; contains both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities; ADE16 has a paralog, ADE17, that arose from the whole genome duplication; ade16 ade17 mutants require adenine and histidine	-6.28e-01	1.34e-01	3.55e-02	7.73e-01
CAGL0A03476g	SMF3	Ortholog(s) have role in cellular iron ion homeostasis, iron ion transport and fungal-type vacuole membrane, plasma membrane localization	1.17e+00	7.52e-04	1.61e+00	4.42e-05	-2.74e-01	4.20e-02	2.54e-01	3.24e-01	1.31e+00	2.05e+00	-8.45e-01	3.36e-01	0	1	0	0	TRANSPORT / TRAFFICKING	VACUOLAR MEMBRANE	F4	CAGL0A03476g	OFF	0	UP	0	0	CAGL0A03476g	YLR034C	S000004024	YLR034C	SMF3	Putative divalent metal ion transporter involved in iron homeostasis; transcriptionally regulated by metal ions; member of the Nramp family of metal transport proteins; protein abundance increases in response to DNA replication stress	 NA	 NA	 NA	 NA
CAGL0A03542g	COX12	Cytochrome c oxidase	-1.96e+00	1.38e-04	-1.74e+00	1.48e-04	2.94e-01	4.72e-02	1.01e+00	2.75e-03	-2.34e+00	-2.36e+00	5.58e-01	1.66e+00	-1	-1	0	0	REDOX SIGNALING	RESPIRATORY CHAIN	F3	CAGL0A03542g	Type I	DOWN	DOWN	0	UP	CAGL0A03542g	YLR038C	S000004028	YLR038C	COX12	Subunit VIb of cytochrome c oxidase; cytochrome c oxidase is also known as respiratory Complex IV and is the terminal member of the mitochondrial inner membrane electron transport chain; required for assembly of cytochrome c oxidase but not required for activity after assembly; phosphorylated; easily released from the intermembrane space, suggesting a loose association with Complex IV	3.54e-02	9.76e-01	5.62e-01	6.48e-02
CAGL0A03740g		Ortholog(s) have role in fatty acid beta-oxidation, long-chain fatty acid catabolic process and peroxisome localization	1.59e+00	1.18e-04	3.16e-01	1.66e-01	2.90e+00	1.11e-06	2.75e+00	1.90e-06	1.80e+00	3.42e-01	7.00e+00	4.70e+00	0	0	1	1	REDOX SIGNALING	PEROXISOME	F3	CAGL0A03740g	Type II	UP	0	UP	UP	CAGL0A03740g	YGL205W	S000003173	YGL205W	POX1	Fatty-acyl coenzyme A oxidase; involved in the fatty acid beta-oxidation pathway; localized to the peroxisomal matrix	 NA	 NA	 NA	 NA
CAGL0A03905g	HMX1	Ortholog(s) have heme oxygenase (decyclizing) activity and role in cellular iron ion homeostasis, heme catabolic process, response to carbon monoxide, response to oxidative stress	2.56e+00	1.08e-06	1.21e+00	2.77e-04	-1.17e+00	2.22e-04	-1.09e+00	1.49e-03	2.94e+00	1.52e+00	-3.05e+00	-2.02e+00	1	0	-1	-1	REDOX SIGNALING	OXYGEN DEPENDENT ENZYME	F3	CAGL0A03905g	Type I	UP	UP	DOWN	DOWN	CAGL0A03905g	YLR205C	S000004195	YLR205C	HMX1	ER localized heme oxygenase; involved in heme degradation during iron starvation and in the oxidative stress response; expression is regulated by AFT1 and oxidative stress; relocates to the perinuclear region in the presence of oxidants	 NA	 NA	 NA	 NA
CAGL0A04015g		Ortholog(s) have role in rRNA processing and box C/D snoRNP complex, nucleolus, small-subunit processome localization	-1.69e+00	1.17e-04	-1.13e+00	4.34e-03	-1.63e-01	2.75e-01	-1.24e-01	6.47e-01	-2.03e+00	-1.56e+00	-5.71e-01	-3.25e-01	-1	0	0	0	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0A04015g	OFF	DOWN	DOWN	0	0	CAGL0A04015g	YLR197W	S000004187	YLR197W	NOP56	Essential evolutionarily-conserved nucleolar protein; component of the box C/D snoRNP complexes that direct 2'-O-methylation of pre-rRNA during its maturation; overexpression causes spindle orientation defects	5.97e-02	8.51e-01	-7.08e-01	1.10e-03
CAGL0A04499g		Ortholog(s) have electron transfer activity, iron ion binding, zinc ion binding activity, role in peptidyl-diphthamide biosynthetic process from peptidyl-histidine, tRNA wobble uridine modification and cytoplasm, nucleus localization	1.38e+00	9.44e-05	6.96e-01	6.55e-02	-5.33e-01	1.29e-02	-1.63e+00	6.37e-04	1.55e+00	8.42e-01	-1.48e+00	-2.96e+00	0	0	0	-1	REGULATION	TRANSLATION	F2	CAGL0A04499g	Type I	UP	0	0	DOWN	CAGL0A04499g	YBL071W-A	S000007587	YBL071W-A	KTI11	Zn-ribbon protein that co-purifies with Dph1 and Dph2; in a complex required for synthesis of diphthamide on translation factor eEF2 and with Elongator subunits Iki3p, Elp2p, and Elp3p; involved in modification of wobble nucleosides in tRNAs; forms a stable heterodimer with Ats1p	 NA	 NA	 NA	 NA
CAGL0A04653g		Ortholog(s) have glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity, role in glutaminyl-tRNAGln biosynthesis via transamidation, mitochondrial translation and glutamyl-tRNA(Gln) amidotransferase complex, mitochondrion localization	-1.02e-01	3.60e-01	1.33e-01	5.61e-01	3.60e-01	9.52e-03	1.69e+00	2.14e-04	-1.76e-01	1.02e-01	7.22e-01	2.84e+00	0	0	0	1	METABOLISM	MITOCHONDRIAL BIOGENESIS	F1	CAGL0A04653g	OFF	0	0	0	UP	CAGL0A04653g	YBL080C	S000000176	YBL080C	PET112	Subunit of the trimeric GatFAB AmidoTransferase(AdT) complex; involved in the formation of Q-tRNAQ; mutation is functionally complemented by the bacterial GatB ortholog	 NA	 NA	 NA	 NA
CAGL0A04829g		Putative hexokinase isoenzyme 2; protein differentially expressed in azole resistant strain	1.92e+00	4.23e-03	9.51e-01	1.98e-03	-1.11e-01	6.80e-01	1.22e+00	4.54e-04	2.19e+00	1.18e+00	-4.41e-01	2.02e+00	1	0	0	1	METABOLISM	ENERGY PRODUCTION (NON RESPIRATORY)	F1	CAGL0A04829g	Type II	UP	0	0	UP	CAGL0A04829g	YFR053C	S000001949	YFR053C	HXK1	Hexokinase isoenzyme 1; a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves hexokinase Hxk2p; HXK1 has a paralog, HXK2, that arose from the whole genome duplication	1.20e-01	7.58e-01	2.23e-01	1.12e-01
CAGL0B00286g		Ortholog(s) have L-serine ammonia-lyase activity, L-threonine ammonia-lyase activity, role in L-serine catabolic process, threonine catabolic process and mitochondrial nucleoid localization	-6.41e-01	4.58e-02	-1.50e+00	2.43e-05	1.33e-03	9.93e-01	-4.16e-01	7.43e-02	-8.06e-01	-2.05e+00	-1.64e-01	-8.36e-01	0	-1	0	0	METABOLISM	AMINO ACID METABOLISM	F1	CAGL0B00286g	OFF	0	DOWN	0	0	CAGL0B00286g	YCL064C	S000000569	YCL064C	CHA1	Catabolic L-serine (L-threonine) deaminase; catalyzes the degradation of both L-serine and L-threonine; required to use serine or threonine as the sole nitrogen source, transcriptionally induced by serine and threonine	 NA	 NA	 NA	 NA
CAGL0B00594g		Predicted GPI-linked protein	-1.34e+00	1.29e-04	-2.05e+00	1.26e-05	-6.44e-01	2.30e-03	-2.96e-01	2.89e-01	-1.63e+00	-2.76e+00	-1.76e+00	-6.26e-01	0	-1	0	0	UNCLASSIFIED	_	Others	CAGL0B00594g	Type II	DOWN	DOWN	DOWN	0	CAGL0B00594g	YCL048W-A	S000087203	YCL048W-A		Putative protein of unknown function; SWAT-GFP and mCherry fusion proteins localize to the cell periphery and vacuole; YCL048W-A has a paralog, YDR524C-B, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0B00792g		Ortholog(s) have RNA binding activity, role in regulation of translation and cytoplasmic stress granule, polysome localization	-1.40e+00	3.68e-04	-1.39e+00	9.92e-05	1.35e-01	5.14e-01	-1.09e+00	1.36e-03	-1.69e+00	-1.90e+00	1.65e-01	-2.02e+00	0	0	0	-1	METABOLISM	RIBOSOMAL BIOGENESIS	F1	CAGL0B00792g	Type II	DOWN	DOWN	0	DOWN	CAGL0B00792g	YCL037C	S000000542	YCL037C	SRO9	Cytoplasmic RNA-binding protein; shuttles between nucleus and cytoplasm and is exported from the nucleus in an mRNA export-dependent manner; associates with translating ribosomes; involved in heme regulation of Hap1p as a component of the HMC complex, also involved in the organization of actin filaments; contains a La motif; SRO9 has a paralog, SLF1, that arose from the whole genome duplication	-1.06e+00	5.20e-02	-5.08e-01	3.03e-02
CAGL0B00814g		Ortholog(s) have role in actin cortical patch localization, actin cytoskeleton organization, actin filament organization, endocytosis and actin cortical patch, cell cortex, cytoplasm localization	1.95e+00	2.27e-05	1.30e+00	2.04e-04	7.75e-02	6.09e-01	3.33e-01	1.28e-01	2.22e+00	1.63e+00	2.40e-02	4.74e-01	1	0	0	0	TRANSPORT / TRAFFICKING	INTRACELLULAR TRANSPORT	F4	CAGL0B00814g	OFF	UP	UP	0	0	CAGL0B00814g	YCL034W	S000000539	YCL034W	LSB5	Protein involved in membrane-trafficking events at plasma membrane; interacts with actin regulators Sla1p and Las17p, ubiquitin, Arf3p to couple actin dynamics to membrane trafficking processes; similar structure to GGA family of proteins with N-terminal VHS domain and GAT domain; binds Las17p, which is homolog of human Wiskott-Aldrich Syndrome protein involved in actin patch assembly, actin polymerization; may mediate disassembly of Pan1 complex from endocytic coat	2.34e-01	4.09e-01	5.93e-01	2.41e-03
CAGL0B00946g		Ortholog(s) have cytosol localization	1.26e+00	3.99e-05	2.25e+00	7.00e-06	2.58e-02	8.57e-01	1.08e-01	6.12e-01	1.41e+00	2.89e+00	-1.04e-01	8.04e-02	0	1	0	0	UNCLASSIFIED	_	Others	CAGL0B00946g	OFF	0	UP	0	0	CAGL0B00946g	YCL028W	S000000533	YCL028W	RNQ1	[PIN(+)] prion; an infectious protein conformation that is generally an ordered protein aggregate	-4.46e+00	1.43e-01	6.21e-01	1.06e-01
CAGL0B00990g	HBN1	Ortholog(s) have oxidoreductase activity, acting on NAD(P)H, nitrogenous group as acceptor activity and role in cellular response to oxidative stress, negative regulation of fatty acid metabolic process	3.69e+00	1.15e-05	2.86e+00	6.64e-06	4.39e-01	1.38e-01	1.04e+00	4.03e-02	4.25e+00	3.69e+00	9.16e-01	1.72e+00	1	1	0	0	REDOX SIGNALING	FLAVO HEMO PROTEIN	F3	CAGL0B00990g	OFF	UP	UP	0	0	CAGL0B00990g	YCL026C-A	S000000589	YCL026C-A	FRM2	Type II nitroreductase, using NADH as reductant; mutants are defective in fatty acid mediated repression of genes involved in fatty acid biosynthesis indicative of a role in lipid signaling; involved in the oxidative stress response; transcription induction by cadmium and selenite indicates a possible role in the metal stress response; expression induced in cells treated with the mycotoxin patulin	9.10e-01	2.50e-02	1.21e+00	1.40e-02
CAGL0B01012g		Ortholog(s) have L-proline transmembrane transporter activity, amino acid transmembrane transporter activity, role in amino acid transport, transmembrane transport and plasma membrane localization	8.16e-01	5.59e-02	6.79e-01	1.12e-01	-1.71e+00	2.47e-03	-2.44e-01	5.91e-01	8.97e-01	8.19e-01	-4.39e+00	-5.35e-01	0	0	-1	0	TRANSPORT / TRAFFICKING	PLASMA MEMBRANE	F4	CAGL0B01012g	OFF	0	0	DOWN	0	CAGL0B01012g	YCL025C	S000000530	YCL025C	AGP1	Low-affinity amino acid permease with broad substrate range; involved in uptake of asparagine, glutamine, and other amino acids; expression regulated by SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p); AGP1 has a paralog, GNP1, that arose from the whole genome duplication	 NA	 NA	 NA	 NA
CAGL0B01122g	SAM1	S-adenosylmethionine synthetase	-1.32e+00	9.27e-05	-1.08e+00	8.28e-04	-3.70e-01	1.78e-02	-1.22e+00	4.54e-04	-1.60e+00	-1.49e+00	-1.08e+00	-2.25e+00	0	0	0	-1	IRON-SULFUR CLUSTER SYNTHESIS AND ASSEMBLY	_	F5	CAGL0B01122g	Type II	DOWN	0	0	DOWN	CAGL0B01122g	YLR180W	S000004170	YLR180W	SAM1	S-adenosylmethionine synthetase; catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; SAM1 has a paralog, SAM2, that arose from the whole genome duplication	-3.37e-01	3.06e-01	-3.73e-01	2.36e-02
CAGL0B01507g	ARG8	Ortholog(s) have N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity, role in arginine biosynthetic process, arginine biosynthetic process via ornithine, ornithine biosynthetic process and mitochondrial matrix localization	-2.71e+00	9.37e-05	-1.63e+00	1.75e-05	4.89e-01	1.62e-01	2.08e-01	3.67e-01	-3.22e+00	-2.21e+00	1.04e+00	2.55e-01	-1	-1	0	0	METABOLISM	AMINO ACID METABOLISM	F1	CAGL0B01507g	OFF	DOWN	DOWN	0	0	CAGL0B01507g	YOL140W	S000005500	YOL140W	ARG8	Acetylornithine aminotransferase; catalyzes the fourth step in the biosynthesis of the arginine precursor ornithine	-2.67e-01	5.06e-01	-3.00e-01	1.58e-01
CAGL0B01639g		Ortholog(s) have guanyl-nucleotide exchange factor activity and role in retrograde transport, endosome to Golgi	1.17e-03	9.95e-01	5.15e-02	8.46e-01	4.19e-01	2.43e-02	1.29e+00	1.10e-03	-5.54e-02	-5.61e-03	8.67e-01	2.16e+00	0	0	0	1	TRANSPORT / TRAFFICKING	ER/GOLGI TRANSPORT SYSTEM	F4	CAGL0B01639g	OFF	0	0	0	UP	CAGL0B01639g	YDR137W	S000002544	YDR137W	RGP1	Subunit of a Golgi membrane exchange factor (Ric1p-Rgp1p); this complex catalyzes nucleotide exchange on Ypt6p	 NA	 NA	 NA	 NA
